MANDT,LIFNR,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELFX,ERDAT,ERNAM,KTOKK,SPRAS,LOEVM,SPERR,STCD1
100,0000050000,CL,Servicios Rivas Ltda,,Calama,5198320,VA,SERVICIOS ,Av. Cecilia Sáez 7493 Of. 999,+56 9 6102 4455,,20230101,SAP_MIG,0001,S,,,67787649-8
100,0000050001,CL,Tecnologías Torres Ltda,,Calama,2961200,RM,TECNOLOGÍA,Manuel Olivares 2545,+56 2 2822 9014,,20230101,SAP_MIG,0001,S,,,86191547-3
100,0000050002,CL,Maestranza Ponce Ltda,,Copiapó,7976430,RM,MAESTRANZA,Gabriela Mistral 5978,+56 2 2536 9003,,20230101,SAP_MIG,0001,S,,,79400398-8
100,0000050003,CL,Servicios Saldías Ltda,,Calama,2445100,AN,SERVICIOS ,Diego Barros Arana 938 Of. 751,+56 32 377 1596,,20230101,SAP_MIG,0001,S,,,65079183-1
100,0000050004,CL,Maestranza Pereira Ltda,,Valparaíso,6416050,AN,MAESTRANZA,Gabriela Alfaro 461,+56 67 366 8164,,20230101,SAP_MIG,0001,S,,,87173044-3
100,0000050005,CL,Tecnologías Espinoza Ltda,,Antofagasta,2181880,AT,TECNOLOGÍA,Gabriela Mistral 3,+56 2 3312 4329,,20230101,SAP_MIG,0001,S,,,54764265-K
100,0000050006,CL,Ingeniería Cisternas Ltda,,Antofagasta,1277990,AT,INGENIERÍA,Lucía De La Fuente 2527 Piso 57,+56 9 2158 1477,,20230101,SAP_MIG,0001,S,,,52108087-5
100,0000050007,CL,Ingeniería Rojas Ltda,,Calama,4119980,VA,INGENIERÍA,Las Lilas 407 Piso 99,+56 2 3307 1518,,20230101,SAP_MIG,0001,S,,,68688292-K
100,0000050008,CL,Servicios Muñoz Ltda,,Valparaíso,7788920,AT,SERVICIOS ,Los Copihues 159 Of. 651,+56 9 8344 9251,,20230101,SAP_MIG,0001,S,,,58879297-9
100,0000050009,CL,Tecnologías Águila Ltda,,Calama,4629140,RM,TECNOLOGÍA,Lautaro 781 Of. 6503,+56 2 3257 3322,,20230101,SAP_MIG,0001,S,,,81740676-6
100,0000050010,CL,Transportes Gómez Ltda,,Antofagasta,1888050,AN,TRANSPORTE,Marta Martínez 39,+56 800 506 537,,20230101,SAP_MIG,0001,S,,,94223583-6
100,0000050011,CL,Maestranza Leal Ltda,,Santiago,7383470,RM,MAESTRANZA,Caupolicán 577,+56 64 338 6239,,20230101,SAP_MIG,0001,S,,,81341494-0
100,0000050012,CL,Ingeniería Cea Ltda,,Santiago,0758180,AN,INGENIERÍA,Calle Los Abedules 2826,+56 2 3975 0606,,20230101,SAP_MIG,0001,S,,,98869586-5
100,0000050013,CL,Ingeniería Miranda Ltda,,Calama,6153050,AT,INGENIERÍA,Lautaro 8472,+56 71 330 1043,,20230101,SAP_MIG,0001,S,,,62764703-8
100,0000050014,CL,Servicios Guerrero Ltda,,Santiago,9861430,AT,SERVICIOS ,Calle Bulnes 1798 Of. 489,+56 58 270 9539,,20230101,SAP_MIG,0001,S,,,62313673-4
100,0000050015,CL,Servicios Flores Ltda,,Antofagasta,1851880,AT,SERVICIOS ,Manuel Baquedano 154,+56 34 235 3195,,20230101,SAP_MIG,0001,S,,,79738000-8
100,0000050016,CL,Ingeniería Muñoz Ltda,,Valparaíso,8527720,AN,INGENIERÍA,Avda. Manuel Rodríguez 6030,+56 64 246 8740,,20230101,SAP_MIG,0001,S,,,50990382-1
100,0000050017,CL,Transportes Fernández Ltda,,Santiago,0541560,AT,TRANSPORTE,Los Calafates 6277 Of. 741,+56 71 322 8451,,20230101,SAP_MIG,0001,S,,,82590824-7
100,0000050018,CL,Transportes Carrasco Ltda,,Santiago,4479620,ML,TRANSPORTE,Los Aromos 75 Piso 0,+56 800 858 202,,20230101,SAP_MIG,0001,S,,,53934955-2
100,0000050019,CL,Servicios Muñoz Ltda,,Santiago,1355690,AN,SERVICIOS ,Carolina Peña 371,+56 9 7365 4310,,20230101,SAP_MIG,0001,S,,,67797475-7
100,0000050020,CL,Maestranza Vidal Ltda,,Valparaíso,6814470,RM,MAESTRANZA,Juana Águila 212,+56 42 397 1551,,20230101,SAP_MIG,0001,S,,,94417431-7
100,0000050021,CL,Transportes Sanhueza Ltda,,Copiapó,4225830,AT,TRANSPORTE,Avda. Constanza Medina 895,+56 9 4991 1467,,20230101,SAP_MIG,0001,S,,,64609659-0
100,0000050022,CL,Tecnologías Salazar Ltda,,Valparaíso,6912510,BI,TECNOLOGÍA,Las Maravillas 328 Dpto. 68,+56 9 4942 2535,,20230101,SAP_MIG,0001,S,,,54090793-5
100,0000050023,CL,Ingeniería Matamala Ltda,,Valparaíso,1438420,AN,INGENIERÍA,Nancy Cárdenas 6922 Of. 200,+56 800 839 690,,20230101,SAP_MIG,0001,S,,,81996735-8
100,0000050024,CL,Tecnologías Varela Ltda,,Antofagasta,8447360,AT,TECNOLOGÍA,Los Piñones 727 Piso 7,+56 71 232 5556,,20230101,SAP_MIG,0001,S,,,84079793-1
100,0000050025,CL,Transportes Vallejos Ltda,,Valparaíso,8815370,AN,TRANSPORTE,Calle Los Higos 7469,+56 2 3825 9532,,20230101,SAP_MIG,0001,S,,,54560776-K
100,0000050026,CL,Transportes Olmedo Ltda,,Antofagasta,7747010,RM,TRANSPORTE,Vicente Gutiérrez 500 Piso 59,+56 9 2616 2456,,20230101,SAP_MIG,0001,S,,,88230269-3
100,0000050027,CL,Tecnologías Muñoz Ltda,,Antofagasta,0983580,VA,TECNOLOGÍA,Calle Manuel Montt 29 Dpto. 6316,+56 2 3198 6800,,20230101,SAP_MIG,0001,S,,,91565989-1
100,0000050028,CL,Servicios López Ltda,,Valparaíso,5787290,BI,SERVICIOS ,Los Copihues 6694,+56 9 9294 7055,,20230101,SAP_MIG,0001,S,,,87931736-8
100,0000050029,CL,Maestranza Olmos Ltda,,Calama,9409740,CO,MAESTRANZA,Calle Esmeralda 396,+56 600 809 130,,20230101,SAP_MIG,0001,S,,,94944549-5
100,0000050030,CL,Transportes Herrera Ltda,,Santiago,2636890,CO,TRANSPORTE,Avda. Los Aromos 778 Piso 92,+56 65 245 4973,,20230101,SAP_MIG,0001,S,,,58783092-K
100,0000050031,CL,Maestranza Vásquez Ltda,,Copiapó,4344370,RM,MAESTRANZA,Los Coihues 244 Of. 7863,+56 33 284 1574,,20230101,SAP_MIG,0001,S,,,54868286-0
100,0000050032,CL,Servicios Castillo Ltda,,Valparaíso,8484210,VA,SERVICIOS ,Calle Hortensia Araya 8165,+56 2 2820 8267,,20230101,SAP_MIG,0001,S,,,56709628-1
100,0000050033,CL,Tecnologías Lara Ltda,,Valparaíso,4540190,AT,TECNOLOGÍA,Franco Monsalve 1262,+56 63 322 4004,,20230101,SAP_MIG,0001,S,,,67797298-2
100,0000050034,CL,Maestranza Escalona Ltda,,Calama,5478870,AN,MAESTRANZA,Fernando Ramírez 3274,+56 2 2754 9329,,20230101,SAP_MIG,0001,S,,,74798543-4
100,0000050035,CL,Transportes Tobar Ltda,,Valparaíso,8516120,RM,TRANSPORTE,Los Pinos 50,+56 45 317 4549,,20230101,SAP_MIG,0001,S,,,97213765-4
100,0000050036,CL,Tecnologías Vargas Ltda,,Valparaíso,5301740,ML,TECNOLOGÍA,Santa Rosa 445,+56 2 3727 2795,,20230101,SAP_MIG,0001,S,,,50524999-K
100,0000050037,CL,Tecnologías Becerra Ltda,,Antofagasta,7833910,CO,TECNOLOGÍA,Ramón Pérez 908 Dpto. 98,+56 64 227 1397,,20230101,SAP_MIG,0001,S,,,59012124-4
100,0000050038,CL,Ingeniería Valderrama Ltda,,Valparaíso,7072860,AN,INGENIERÍA,María Henríquez 70 Piso 0,+56 9 3206 5180,,20230101,SAP_MIG,0001,S,,,60431932-4
100,0000050039,CL,Maestranza Astete Ltda,,Calama,7046220,VA,MAESTRANZA,Los Copihues 266 Of. 682,+56 2 3186 8230,,20230101,SAP_MIG,0001,S,,,98158138-5
100,0000050040,CL,Transportes Fonseca Ltda,,Copiapó,7868630,BI,TRANSPORTE,Los Coihues 7310,+56 9 2833 1190,,20230101,SAP_MIG,0001,S,,,83917427-7
100,0000050041,CL,Maestranza Arriagada Ltda,,Antofagasta,0306730,ML,MAESTRANZA,Calle Los Copihues 6959,+56 2 3542 8364,,20230101,SAP_MIG,0001,S,,,56194045-K
100,0000050042,CL,Servicios Rojas Ltda,,Copiapó,9268700,ML,SERVICIOS ,Lynch 562 Piso 42,+56 2 3742 7086,,20230101,SAP_MIG,0001,S,,,52958612-0
100,0000050043,CL,Maestranza Sáez Ltda,,Calama,2634350,ML,MAESTRANZA,Las Mosquetas 183,+56 57 299 9013,,20230101,SAP_MIG,0001,S,,,92755954-4
100,0000050044,CL,Transportes Espinoza Ltda,,Santiago,3540330,BI,TRANSPORTE,Los Palmitos 436,+56 9 7546 7854,,20230101,SAP_MIG,0001,S,,,87022646-6
100,0000050045,CL,Tecnologías Figueroa Ltda,,Antofagasta,7717530,AN,TECNOLOGÍA,Gabriela Mistral 132 Piso 58,+56 2 3835 3693,,20230101,SAP_MIG,0001,S,,,55049529-2
100,0000050046,CL,Tecnologías Ramos Ltda,,Copiapó,5477720,AN,TECNOLOGÍA,Calle Joaquín Flores 90 Dpto. 310,+56 600 812 038,,20230101,SAP_MIG,0001,S,,,89091555-8
100,0000050047,CL,Transportes Miranda Ltda,,Calama,9977000,RM,TRANSPORTE,Calle Caupolicán 940 Of. 262,+56 9 4533 9845,,20230101,SAP_MIG,0001,S,,,52807087-4
100,0000050048,CL,Maestranza Vilches Ltda,,Antofagasta,1567930,ML,MAESTRANZA,Avenida Las Mosquetas 7016,+56 65 387 0021,,20230101,SAP_MIG,0001,S,,,74012171-3
100,0000050049,CL,Transportes Marchant Ltda,,Antofagasta,5918030,BI,TRANSPORTE,Josefa Muñoz 1489,+56 2 3250 3926,,20230101,SAP_MIG,0001,S,,,73734971-8
100,0000050050,CL,Servicios Gómez Ltda,,Calama,9396850,VA,SERVICIOS ,Avda. Alonso Pérez 15 Dpto. 763,+56 32 294 7735,,20230101,SAP_MIG,0001,S,,,65887173-2
100,0000050051,CL,Transportes Fredes Ltda,,Antofagasta,6296190,RM,TRANSPORTE,Avda. María Sepúlveda 72 Piso 5,+56 2 2304 7541,,20230101,SAP_MIG,0001,S,,,62036690-5
100,0000050052,CL,Servicios Pérez Ltda,,Calama,6788860,ML,SERVICIOS ,Calle Las Rosas 156,+56 58 296 1839,,20230101,SAP_MIG,0001,S,,,67905028-2
100,0000050053,CL,Ingeniería Hernández Ltda,,Antofagasta,6224440,RM,INGENIERÍA,Calle Patricio Romero 515 Dpto. 279,+56 2 3640 6596,,20230101,SAP_MIG,0001,S,,,81587472-3
100,0000050054,CL,Transportes Guzmán Ltda,,Santiago,6924590,ML,TRANSPORTE,Los Pinos 8654,+56 9 5456 4651,,20230101,SAP_MIG,0001,S,,,73465179-4
100,0000050055,CL,Transportes Farías Ltda,,Antofagasta,8280730,AT,TRANSPORTE,Av. Los Piñones 86 Dpto. 3743,+56 2 2979 7968,,20230101,SAP_MIG,0001,S,,,94294077-3
100,0000050056,CL,Servicios Aránguiz Ltda,,Copiapó,6805890,CO,SERVICIOS ,Avda. Salvador Allende 7909,+56 58 291 0143,,20230101,SAP_MIG,0001,S,,,54658747-4
100,0000050057,CL,Maestranza Ibarra Ltda,,Valparaíso,8993750,BI,MAESTRANZA,Las Araucarias 682 Dpto. 771,+56 2 2925 4573,,20230101,SAP_MIG,0001,S,,,76821962-K
100,0000050058,CL,Tecnologías Escobar Ltda,,Antofagasta,7177510,CO,TECNOLOGÍA,Av. Arturo Prat 31 Of. 338,+56 65 236 7362,,20230101,SAP_MIG,0001,S,,,57740453-4
100,0000050059,CL,Transportes Delgado Ltda,,Copiapó,6609370,VA,TRANSPORTE,Alonso de Ercilla 9191 Dpto. 255,+56 73 277 8596,,20230101,SAP_MIG,0001,S,,,52567397-1
100,0000050060,CL,Tecnologías Toledo Ltda,,Copiapó,5579240,RM,TECNOLOGÍA,Calle Víctor Contreras 728,+56 71 382 9662,,20230101,SAP_MIG,0001,S,,,98891831-5
100,0000050061,CL,Servicios Inostroza Ltda,,Valparaíso,2827420,VA,SERVICIOS ,Los Alerces 850,+56 2 3836 8876,,20230101,SAP_MIG,0001,S,,,57760857-6
100,0000050062,CL,Tecnologías Zúñiga Ltda,,Copiapó,7721900,AT,TECNOLOGÍA,Calle Los Palmitos 827,+56 9 3191 4858,,20230101,SAP_MIG,0001,S,,,52978729-6
100,0000050063,CL,Ingeniería Cisternas Ltda,,Valparaíso,7836130,VA,INGENIERÍA,Calle Gabriela Mistral 27 Dpto. 739,+56 9 4533 0958,,20230101,SAP_MIG,0001,S,,,96094202-K
100,0000050064,CL,Transportes San Martín Ltda,,Santiago,2544940,CO,TRANSPORTE,Psje. Segundo Vicencio 3,+56 600 832 536,,20230101,SAP_MIG,0001,S,,,54695862-K
100,0000050065,CL,Maestranza Morales Ltda,,Copiapó,4667110,VA,MAESTRANZA,Samuel Meza 87 Piso 9,+56 600 475 186,,20230101,SAP_MIG,0001,S,,,94519179-1
100,0000050066,CL,Maestranza Santos Ltda,,Copiapó,3745450,VA,MAESTRANZA,Ámbar Zamora 10,+56 2 2170 1277,,20230101,SAP_MIG,0001,S,,,94754425-6
100,0000050067,CL,Maestranza Vejar Ltda,,Copiapó,6324240,RM,MAESTRANZA,Manuel Rodríguez 720,+56 800 436 110,,20230101,SAP_MIG,0001,S,,,87205991-2
100,0000050068,CL,Transportes Aravena Ltda,,Santiago,2938700,RM,TRANSPORTE,Lautaro 7,+56 600 271 361,,20230101,SAP_MIG,0001,S,,,95454037-2
100,0000050069,CL,Tecnologías Rodríguez Ltda,,Copiapó,5426220,VA,TECNOLOGÍA,Marcelo Cornejo 7532,+56 9 9731 1219,,20230101,SAP_MIG,0001,S,,,77251243-8
100,0000050070,CL,Ingeniería Rivera Ltda,,Copiapó,6523410,CO,INGENIERÍA,Julio Moraga 9043,+56 9 5264 0376,,20230101,SAP_MIG,0001,S,,,64105121-6
100,0000050071,CL,Tecnologías Gutiérrez Ltda,,Copiapó,9180550,VA,TECNOLOGÍA,Pedro de Valdivia 227,+56 2 2191 0430,,20230101,SAP_MIG,0001,S,,,81204829-7
100,0000050072,CL,Servicios Pulgar Ltda,,Calama,6848660,BI,SERVICIOS ,Avenida Paula Jaraquemada 4418 Dpto,+56 600 803 161,,20230101,SAP_MIG,0001,S,,,84304306-7
100,0000050073,CL,Transportes Arias Ltda,,Antofagasta,0421020,BI,TRANSPORTE,Calle Diego Lagos 34,+56 41 254 1056,,20230101,SAP_MIG,0001,S,,,69044583-8
100,0000050074,CL,Tecnologías Bustos Ltda,,Antofagasta,4917780,CO,TECNOLOGÍA,Calle Las Rosas 241 Dpto. 80,+56 2 3107 5622,,20230101,SAP_MIG,0001,S,,,65761764-K
100,0000050075,CL,Maestranza Paredes Ltda,,Calama,6353650,AT,MAESTRANZA,Calle Bernardo O'Higgins 2806 Piso ,+56 2 2587 0534,,20230101,SAP_MIG,0001,S,,,59888757-0
100,0000050076,CL,Ingeniería Mancilla Ltda,,Santiago,3759730,AT,INGENIERÍA,Calle Eduardo Reyes 7050,+56 800 813 836,,20230101,SAP_MIG,0001,S,,,91021901-1
100,0000050077,CL,Servicios Barriga Ltda,,Valparaíso,2410380,RM,SERVICIOS ,Los Aromos 29 Of. 226,+56 73 372 3445,,20230101,SAP_MIG,0001,S,,,63048327-6
100,0000050078,CL,Servicios Cruz Ltda,,Calama,5574310,RM,SERVICIOS ,Avda. Guillermo Sepúlveda 2756,+56 9 7237 4741,,20230101,SAP_MIG,0001,S,,,59903345-K
100,0000050079,CL,Ingeniería Martínez Ltda,,Antofagasta,4903520,ML,INGENIERÍA,Psje. Paula Rojas 8206,+56 9 5117 1210,,20230101,SAP_MIG,0001,S,,,78531078-3
100,0000050080,CL,Transportes Avendaño Ltda,,Valparaíso,3236510,ML,TRANSPORTE,Calle Antonio Varas 37 Dpto. 151,+56 2 3796 6706,,20230101,SAP_MIG,0001,S,,,81175415-0
100,0000050081,CL,Tecnologías Hernández Ltda,,Antofagasta,3244720,AT,TECNOLOGÍA,Valeria Valenzuela 1687,+56 2 2446 2638,,20230101,SAP_MIG,0001,S,,,80632634-2
100,0000050082,CL,Servicios Osorio Ltda,,Valparaíso,8065780,BI,SERVICIOS ,Los Alerces 364 Dpto. 59,+56 33 237 8593,,20230101,SAP_MIG,0001,S,,,87508841-9
100,0000050083,CL,Maestranza Rodríguez Ltda,,Santiago,3480390,ML,MAESTRANZA,Los Copihues 3 Dpto. 639,+56 800 899 293,,20230101,SAP_MIG,0001,S,,,91114401-8
100,0000050084,CL,Servicios Sanhueza Ltda,,Valparaíso,2701030,ML,SERVICIOS ,Calle Arturo Prat 33,+56 75 232 5002,,20230101,SAP_MIG,0001,S,,,79924755-2
100,0000050085,CL,Servicios Suárez Ltda,,Copiapó,8515690,RM,SERVICIOS ,Manuel Rodríguez 6267,+56 2 3789 5392,,20230101,SAP_MIG,0001,S,,,66591977-K
100,0000050086,CL,Maestranza Tapia Ltda,,Valparaíso,4220960,ML,MAESTRANZA,Avenida Raimundo Ferreira 3917,+56 44 221 3552,,20230101,SAP_MIG,0001,S,,,82520755-K
100,0000050087,CL,Transportes Maturana Ltda,,Santiago,5704330,CO,TRANSPORTE,Manuel Rodríguez 8006,+56 800 926 765,,20230101,SAP_MIG,0001,S,,,55199819-4
100,0000050088,CL,Transportes Vera Ltda,,Copiapó,7932710,CO,TRANSPORTE,Calle Los Naranjos 2,+56 42 266 2181,,20230101,SAP_MIG,0001,S,,,71455345-8
100,0000050089,CL,Ingeniería Aguilar Ltda,,Calama,9706290,AT,INGENIERÍA,Calle Benjamín Cepeda 588 Of. 444,+56 2 2669 8720,,20230101,SAP_MIG,0001,S,,,65519695-6
100,0000050090,CL,Transportes González Ltda,,Calama,1497310,BI,TRANSPORTE,Calle Sandra Pérez 74,+56 63 364 1862,,20230101,SAP_MIG,0001,S,,,54310325-6
100,0000050091,CL,Servicios Briceño Ltda,,Valparaíso,5270470,CO,SERVICIOS ,Calle Los Naranjos 221 Of. 758,+56 9 2468 6879,,20230101,SAP_MIG,0001,S,,,81267650-6
100,0000050092,CL,Ingeniería Aravena Ltda,,Santiago,1608980,AT,INGENIERÍA,Psje. Manuel Montt 42,+56 2 3320 6163,,20230101,SAP_MIG,0001,S,,,76137346-9
100,0000050093,CL,Ingeniería Urra Ltda,,Valparaíso,4511680,ML,INGENIERÍA,Benjamín Vásquez 909 Piso 31,+56 2 3299 9119,,20230101,SAP_MIG,0001,S,,,75526938-7
100,0000050094,CL,Ingeniería Márquez Ltda,,Copiapó,8564670,CO,INGENIERÍA,Calle Gabriela Mistral 760 Piso 3,+56 800 545 054,,20230101,SAP_MIG,0001,S,,,76171560-6
100,0000050095,CL,Tecnologías Vásquez Ltda,,Valparaíso,7132470,BI,TECNOLOGÍA,Avda. Las Hortensias 437 Piso 17,+56 9 4114 8628,,20230101,SAP_MIG,0001,S,,,90483595-3
100,0000050096,CL,Servicios Torres Ltda,,Copiapó,3030700,AT,SERVICIOS ,Calle Estefanía Yáñez 410 Piso 37,+56 67 328 5524,,20230101,SAP_MIG,0001,S,,,79248457-7
100,0000050097,CL,Ingeniería Fernández Ltda,,Copiapó,6029330,RM,INGENIERÍA,Calle Isabel González 80,+56 2 3529 0349,,20230101,SAP_MIG,0001,S,,,94887348-K
100,0000050098,CL,Servicios Villegas Ltda,,Calama,4665740,BI,SERVICIOS ,Los Robles 296,+56 2 2585 8994,,20230101,SAP_MIG,0001,S,,,81366021-2
